,品目,単位,平均価格
0,まぐろ,100g, 523
1,あじ,100g, 142
2,いわし,100g, 118
3,かつお,100g, 267
4,さけ,100g, 534
5,さば,100g, 159
6,さんま,100g, 195
7,たい,100g, 725
8,ぶり,100g, 425
9,いか,100g, 242
10,たこ,100g, 550
11,えび,100g, 374
12,あさり,100g, 191
13,かき(貝),100g, 503
14,ほたて貝,100g, 465
15,キャベツ,1kg, 200
16,ほうれんそう,1kg, 999
17,はくさい,1kg, 240
18,ねぎ,1kg, 858
19,レタス,1kg, 462
20,もやし,1kg, 178
21,ブロッコリー,1kg, 674
22,アスパラガス,1kg," 2,509"
23,さつまいも,1kg, 689
24,じゃがいも,1kg, 546
25,さといも,1kg," 1,043"
26,だいこん,1kg, 209
27,にんじん,1kg, 545
28,ごぼう,1kg," 1,204"
29,たまねぎ,1kg, 473
30,れんこん,1kg," 1,277"
31,ながいも,1kg, 950
32,しょうが,1kg," 2,504"
33,えだまめ,1kg," 1,648"
34,さやいんげん,1kg," 2,994"
35,かぼちゃ,1kg, 679
36,きゅうり,1kg, 740
37,なす,1kg, 790
38,トマト,1kg, 919
39,ピーマン,1kg," 1,210"
40,生しいたけ,1kg," 1,879"
41,えのきたけ,1kg, 667
42,しめじ,1kg, 852
43,カット野菜,1kg, 649
44,りんご,1kg, 879
45,みかん,1kg, 951
46,オレンジ,1kg, 720
47,しらぬひ,1kg," 1,013"
48,梨,1kg," 1,116"
49,ぶどう(デラウェア),1kg," 2,158"
50,ぶどう(巨峰),1kg," 2,744"
51,ぶどう(シャインマスカット),1kg," 3,508"
52,柿,1kg, 705
53,桃,1kg," 1,596"
54,すいか,1kg, 602
55,メロン,1kg, 983
56,いちご,1kg," 2,335"
57,さくらんぼ,1kg," 4,362"
58,バナナ,1kg, 353
59,キウイフルーツ,1kg," 1,246"
60,アボカド,1kg," 1,145"
61,パイナップル,1kg," 1,515"
62,切り花(カーネーション),(1本), 237
63,切り花(きく),(1本), 288
64,切り花(バラ),(1本), 431
65,"うるち米単一原料米,｢コシヒカリ｣",1袋･5kg," 5,115"
66,"うるち米単一原料米,｢コシヒカリ｣以外",1袋･5kg," 4,935"
67,食パン,1kg, 537
68,あんパン,100g, 128
69,カレーパン,100g, 133
70,ゆでうどん,1kg, 630
71,そうめん,1袋･300g, 400
72,ｽﾊﾟｹﾞｯﾃｨ,1kg, 655
73,カップ麺,1個･78g, 192
74,中華麺,1kg, 491
75,小麦粉,1袋･1kg, 367
76,もち,1袋･1kg, 942
77,シリアル,1kg," 1,140"
78,塩さけ,100g, 327
79,たらこ,100g, 495
80,しらす干し,100g, 796
81,干しあじ,100g, 196
82,煮干し,100g, 383
83,ししゃも,100g, 278
84,いくら,100g," 2,552"
85,塩さば,100g, 247
86,揚げかまぼこ,100g, 142
87,ちくわ,100g, 136
88,かまぼこ,100g, 217
89,かつお節,100g," 1,536"
90,魚介漬物,100g, 328
91,魚介つくだ煮,100g, 573
92,魚介缶詰,1缶･70g, 156
93,牛肉国産品,100g, 940
94,牛肉輸入品,100g, 367
95,"豚肉国産品,バラ",100g, 285
96,"豚肉輸入品,ロース",100g, 173
97,鶏肉,100g, 157
98,ハム,100g, 245
99,ソーセージ,100g, 194
100,ベーコン,100g, 262
101,味付け肉,100g, 208
102,牛乳,"1本･1,000mL", 261
103,粉ミルク,1缶･780g," 2,946"
104,バター,1箱･200g, 586
105,チーズ国産品,100g, 273
106,チーズ輸入品,1個･125g, 925
107,ヨーグルト,1個･400g, 191
108,鶏卵,1パック･10個, 314
109,干ししいたけ,100g," 2,522"
110,干しのり,1袋･10枚, 674
111,わかめ,100g, 719
112,こんぶ,100g, 970
113,ひじき,100g," 2,495"
114,豆腐,1kg, 285
115,油揚げ,1kg," 1,222"
116,納豆,1パック･50g×3又は45g×3, 102
117,こんにゃく,1kg, 490
118,梅干し,1kg," 2,433"
119,だいこん漬,1kg," 1,076"
120,こんぶつくだ煮,1kg," 3,327"
121,はくさい漬,1kg, 953
122,キムチ,1kg," 1,078"
123,野菜缶詰,1kg," 1,506"
124,ナッツ,100g, 355
125,食用油,1本･900g, 394
126,マーガリン,1kg, 971
127,食塩,1袋･1kg, 129
128,しょう油,1本･450mL, 310
129,みそ,1個･750g, 400
130,砂糖,1袋･1kg, 279
131,酢,1本･500mL, 137
132,ソース,1本･500mL, 317
133,ケチャップ,1本･500g, 264
134,マヨネーズ,1kg, 866
135,ドレッシング,1本･380mL, 298
136,ジャム,1個･150g, 271
137,カレールウ,1箱･12皿分, 323
138,乾燥スープ,1箱･148.8g, 392
139,風味調味料,100g, 287
140,つゆ・たれ焼肉のたれ,1本･360g, 380
141,つゆ・たれめんつゆ,1本･1L, 319
142,ふりかけ,1袋･52g, 238
143,合わせ調味料,1箱･162g, 212
144,パスタソース,100g, 88
145,香辛料,1箱･43g, 190
146,ようかん,100g, 179
147,まんじゅう,100g, 147
148,だいふく餅,100g, 134
149,カステラ,100g, 250
150,ケーキ,1個, 601
151,シュークリーム,100g, 186
152,ロールケーキ,1本," 1,626"
153,プリン,1個, 167
154,ビスケット,100g, 184
155,キャンデー,1袋, 221
156,せんべい,100g, 173
157,チョコレート,100g, 391
158,落花生,100g, 157
159,チューインガム,1個･14粒, 175
160,グミ,1袋･54～56g, 149
161,アイスクリーム,1個･110mL, 292
162,ポテトチップス,100g, 214
163,ゼリー,100g, 69
164,無菌包装米飯,100g, 107
165,弁当幕の内弁当,1個, 632
166,弁当からあげ弁当,1個, 544
167,弁当カツ丼,1個, 581
168,調理パン,100g, 249
169,おにぎり,1個, 182
170,冷凍米飯,100g, 96
171,すし弁当にぎりずし,1パック, 883
172,すし弁当いなりずし,1個, 85
173,調理パスタ,1袋･260～330g, 286
174,調理ピザ,1袋, 307
175,たこ焼き,100g, 124
176,うなぎかば焼き,100g," 1,508"
177,焼き魚,100g, 396
178,サラダ,100g, 175
179,煮豆,100g, 159
180,きんぴら,100g, 301
181,焼豚,100g, 248
182,コロッケ,100g, 130
183,豚カツ,100g, 259
184,からあげ,100g, 239
185,やきとり,1本, 134
186,ハンバーグ,1パック･246g, 364
187,冷凍調理コロッケ,100g, 167
188,冷凍調理ハンバーグ,100g, 195
189,冷凍ぎょうざ,100g, 93
190,調理カレー,1箱･180g, 159
191,ぎょうざ,100g, 135
192,混ぜごはんのもと,1箱･134g, 248
193,サラダチキン,100g, 252
194,おでん,1kg, 768
195,ミートボール,100g, 137
196,緑茶,100g, 627
197,紅茶,10袋, 124
198,茶飲料,"1,000mL", 163
199,インスタントコーヒー,100g," 1,040"
200,コーヒー豆,100g, 304
201,コーヒー飲料セルフ式を除く。,"1,000mL", 176
202,果実飲料濃縮還元,"1,000mL", 418
203,果実飲料果汁20～50%,"1本･1,500mL", 251
204,野菜ジュース,1本･200mL, 117
205,コーラ,"1,000mL", 275
206,ノンアルコールビール,1パック･350mL×6, 737
207,炭酸水,1本･500mL, 96
208,スポーツドリンク,1本･500mL, 120
209,ミネラルウォーター配達を除く。,"1本･2,000mL", 129
210,豆乳,"1本･1,000mL", 239
211,ゼリー飲料,1個･180g, 199
212,清酒,"1本･2,000mL"," 1,106"
213,焼酎,"1本･1,800mL"," 1,758"
214,チューハイ,1缶･350mL, 136
215,ビール,1パック･350mL×6," 1,202"
216,発泡酒,1パック･350mL×6, 995
217,ビール風アルコール飲料,1パック･350mL×6, 933
218,ウイスキー,1本･700mL," 1,742"
219,ワイン国産品,1本･720mL, 569
220,ワイン輸入品,1本･750mL, 692
221,うどん外食,1杯, 792
222,日本そば外食,1枚, 770
223,中華そば外食,1杯, 606
224,ｽﾊﾟｹﾞｯﾃｨ外食,1皿, 714
225,すし外食にぎりずし,1人前," 1,770"
226,すし外食回転ずし,1皿, 215
227,天丼外食,1杯," 1,349"
228,カレーライス外食,1皿, 886
229,ぎょうざ外食,1皿, 384
230,ハンバーガー外食,1個, 247
231,牛丼外食,1杯, 486
232,ハンバーグ外食,1人前," 1,196"
233,豚カツ定食外食,1人前," 1,480"
234,しょうが焼き定食外食,1人前, 894
235,ピザ配達,1枚," 2,414"
236,焼肉外食,1人前," 1,068"
237,サンドイッチ外食,1皿, 784
238,コーヒー外食喫茶店,1杯, 620
239,コーヒー外食セルフサービス店,1杯, 294
240,ビール外食,1本･500mL, 664
241,やきとり外食,1本, 187
